6/5/2013	4:51 PM
Voltage (V),Current (mA)
0.001	0.001
0.055	0.001
0.101	0.001
0.148	0.001
0.201	0.001
0.249	0.002
0.302	0.001
0.350	0.001
0.404	0.001
0.451	0.001
0.505	0.002
0.554	0.001
0.607	0.001
0.655	0.002
0.709	0.001
0.757	0.002
0.810	0.001
0.858	0.001
0.912	0.001
0.960	0.002
1.014	0.001
1.062	0.002
1.115	0.002
1.162	0.001
1.215	0.002
1.262	0.001
1.310	0.001
1.363	0.002
1.411	0.001
1.465	0.001
1.512	0.003
1.566	0.006
1.614	0.013
1.665	0.038
1.709	0.100
1.752	0.285
1.783	0.602
1.827	1.598
1.865	3.265
1.911	6.675
1.961	12.244
2.012	20.057
2.060	30.065
