6/5/2013	4:42 PM
Voltage (V),Current (mA)
0.001	0.001
0.054	0.001
0.101	0.001
0.148	0.000
0.201	0.001
0.248	0.001
0.302	0.001
0.350	0.001
0.404	0.001
0.451	0.002
0.505	0.001
0.553	0.002
0.608	0.001
0.656	0.001
0.709	0.001
0.757	0.001
0.810	0.001
0.859	0.001
0.912	0.001
0.960	0.001
1.014	0.001
1.062	0.002
1.115	0.001
1.162	0.002
1.215	0.001
1.262	0.001
1.310	0.001
1.363	0.001
1.411	0.001
1.465	0.001
1.513	0.001
1.566	0.001
1.614	0.001
1.667	0.001
1.714	0.001
1.767	0.002
1.814	0.001
1.867	0.001
1.915	0.001
1.968	0.001
2.015	0.001
2.067	0.001
2.115	0.001
2.169	0.001
2.217	0.001
2.271	0.001
2.319	0.002
2.373	0.012
2.419	0.038
2.467	0.129
2.505	0.318
2.541	0.668
2.569	1.067
2.621	2.136
2.654	2.988
2.710	4.680
2.746	5.920
2.806	8.128
2.844	9.677
2.902	12.210
2.943	14.069
3.003	16.934
3.043	19.003
3.103	22.152
3.146	24.519
3.189	26.933
3.248	30.411
3.292	33.094
3.333	35.714
3.394	39.543
