6/5/2013	4:52 PM
Voltage (V),Current (mA)
0.001	0.001
0.054	0.001
0.102	0.001
0.148	0.002
0.201	0.001
0.249	0.001
0.302	0.001
0.350	0.001
0.404	0.001
0.451	0.001
0.505	0.002
0.553	0.001
0.608	0.001
0.656	0.002
0.709	0.001
0.757	0.001
0.810	0.002
0.858	0.001
0.912	0.002
0.960	0.001
1.014	0.001
1.062	0.001
1.115	0.001
1.162	0.001
1.215	0.001
1.262	0.002
1.310	0.001
1.363	0.001
1.411	0.001
1.465	0.002
1.513	0.002
1.566	0.003
1.614	0.005
1.667	0.014
1.712	0.040
1.760	0.126
1.798	0.317
1.831	0.715
1.870	1.796
1.914	4.503
1.963	10.560
2.010	21.006
2.059	39.366
