6/5/2013	5:22 PM
Voltage (V),Current (mA)
0.002	0.001
0.055	0.001
0.102	0.001
0.148	0.001
0.201	0.001
0.249	0.002
0.302	0.001
0.350	0.001
0.404	0.001
0.451	0.001
0.505	0.002
0.553	0.002
0.608	0.001
0.656	0.001
0.709	0.001
0.757	0.000
0.811	0.001
0.858	0.001
0.912	0.001
0.960	0.001
1.014	0.001
1.062	0.001
1.115	0.001
1.162	0.001
1.215	0.002
1.262	0.001
1.310	0.001
1.363	0.001
1.411	0.002
1.465	0.002
1.513	0.003
1.566	0.006
1.614	0.014
1.666	0.034
1.710	0.078
1.757	0.183
1.795	0.369
1.831	0.707
1.877	1.537
1.923	2.928
1.971	4.935
2.016	7.332
2.065	10.222
2.114	13.435
2.165	16.949
2.206	19.956
2.259	23.861
2.311	27.904
2.356	31.410
2.410	35.697
2.456	39.244
