6/5/2013	5:21 PM
Voltage (V),Current (mA)
0.001	0.001
0.055	0.001
0.102	0.001
0.148	0.002
0.201	0.002
0.248	0.001
0.302	0.001
0.350	0.002
0.404	0.001
0.451	0.001
0.505	0.001
0.553	0.001
0.607	0.001
0.655	0.001
0.709	0.001
0.757	0.001
0.810	0.001
0.858	0.002
0.912	0.001
0.960	0.001
1.014	0.001
1.062	0.002
1.115	0.001
1.162	0.001
1.215	0.001
1.262	0.002
1.310	0.001
1.363	0.001
1.411	0.002
1.465	0.002
1.513	0.004
1.566	0.009
1.613	0.023
1.664	0.069
1.705	0.182
1.744	0.447
1.772	0.812
1.819	1.880
1.864	3.628
1.917	6.690
1.965	10.647
2.010	15.814
2.058	24.228
