6/5/2013	4:58 PM
Voltage (V),Current (mA)
0.001	0.001
0.055	0.001
0.101	0.001
0.148	0.001
0.201	0.001
0.249	0.001
0.302	0.001
0.350	0.001
0.404	0.001
0.451	0.001
0.505	0.001
0.553	0.001
0.607	0.001
0.656	0.001
0.709	0.002
0.757	0.001
0.810	0.001
0.858	0.001
0.912	0.002
0.960	0.001
1.014	0.002
1.062	0.001
1.115	0.001
1.162	0.002
1.215	0.001
1.262	0.001
1.309	0.002
1.363	0.001
1.411	0.001
1.465	0.001
1.513	0.001
1.566	0.001
1.614	0.001
1.667	0.001
1.714	0.001
1.767	0.001
1.814	0.002
1.867	0.001
1.915	0.001
1.968	0.002
2.015	0.002
2.067	0.002
2.114	0.002
2.168	0.003
2.217	0.004
2.271	0.005
2.318	0.007
2.372	0.013
2.419	0.023
2.471	0.051
2.516	0.110
2.563	0.249
2.600	0.450
2.634	0.721
2.669	1.088
2.697	1.458
2.763	2.579
2.801	3.372
2.862	4.935
2.899	6.059
2.957	8.034
2.996	9.577
3.053	12.148
3.090	14.067
3.146	17.236
3.199	20.750
3.236	23.572
3.287	27.819
3.335	32.472
3.386	37.753
