6/5/2013	4:56 PM
Voltage (V),Current (mA)
0.001	0.002
0.055	0.002
0.102	0.001
0.148	0.001
0.201	0.001
0.249	0.001
0.302	0.001
0.350	0.001
0.404	0.001
0.451	0.001
0.505	0.001
0.554	0.001
0.607	0.001
0.656	0.001
0.709	0.001
0.757	0.001
0.810	0.001
0.858	0.001
0.912	0.001
0.960	0.001
1.014	0.002
1.062	0.001
1.115	0.001
1.162	0.001
1.215	0.001
1.262	0.001
1.310	0.001
1.363	0.002
1.411	0.001
1.465	0.001
1.513	0.001
1.566	0.002
1.614	0.001
1.667	0.002
1.714	0.001
1.767	0.002
1.814	0.001
1.867	0.002
1.915	0.002
1.968	0.001
2.015	0.001
2.067	0.001
2.114	0.002
2.169	0.002
2.217	0.002
2.271	0.003
2.319	0.004
2.373	0.005
2.420	0.007
2.473	0.011
2.521	0.018
2.574	0.032
2.620	0.055
2.666	0.096
2.716	0.176
2.757	0.290
2.801	0.471
2.837	0.691
2.874	0.999
2.905	1.330
2.971	2.329
3.006	3.054
3.039	3.908
3.098	5.854
3.150	8.174
3.199	11.015
3.245	14.384
3.290	18.506
3.332	23.314
3.382	30.442
