6/5/2013	4:50 PM
Voltage (V),Current (mA)
0.001	0.002
0.054	0.001
0.101	0.001
0.148	0.001
0.201	0.001
0.249	0.001
0.302	0.002
0.350	0.001
0.404	0.001
0.451	0.001
0.505	0.002
0.553	0.002
0.607	0.001
0.656	0.001
0.709	0.001
0.757	0.001
0.810	0.001
0.858	0.001
0.912	0.001
0.960	0.001
1.014	0.001
1.062	0.001
1.115	0.001
1.162	0.001
1.215	0.001
1.262	0.001
1.309	0.001
1.363	0.001
1.411	0.002
1.465	0.002
1.513	0.003
1.566	0.008
1.613	0.021
1.664	0.074
1.704	0.209
1.740	0.527
1.765	0.960
1.821	2.987
1.866	6.153
1.914	11.404
1.963	19.174
2.010	30.222
