6/5/2013	5:09 PM
Voltage (V),Current (mA)
0.001	0.002
0.054	0.001
0.101	0.000
0.148	0.002
0.201	0.001
0.249	0.001
0.302	0.001
0.350	0.001
0.404	0.001
0.451	0.001
0.505	0.001
0.553	0.001
0.608	0.001
0.656	0.001
0.709	0.001
0.757	0.002
0.811	0.001
0.859	0.001
0.912	0.001
0.960	0.001
1.014	0.002
1.062	0.002
1.115	0.001
1.162	0.001
1.215	0.002
1.262	0.001
1.309	0.001
1.363	0.001
1.411	0.001
1.465	0.002
1.513	0.001
1.566	0.001
1.614	0.001
1.667	0.001
1.714	0.001
1.767	0.001
1.814	0.001
1.867	0.002
1.915	0.001
1.968	0.002
2.015	0.001
2.067	0.002
2.115	0.002
2.169	0.002
2.217	0.003
2.271	0.004
2.318	0.007
2.372	0.016
2.418	0.046
2.467	0.143
2.505	0.322
2.544	0.630
2.573	0.972
2.601	1.364
2.665	2.543
2.700	3.365
2.758	4.997
2.796	6.230
2.853	8.363
2.909	10.818
2.947	12.719
3.002	15.693
3.040	18.043
3.094	21.641
3.146	25.454
3.185	28.640
3.237	33.138
3.288	37.892
