6/5/2013	5:10 PM
Voltage (V),Current (mA)
0.001	0.001
0.055	0.001
0.101	0.001
0.148	0.001
0.202	0.001
0.249	0.001
0.303	0.001
0.350	0.001
0.404	0.001
0.452	0.001
0.505	0.001
0.553	0.001
0.608	0.001
0.656	0.001
0.709	0.001
0.757	0.001
0.810	0.002
0.858	0.002
0.912	0.001
0.960	0.001
1.014	0.001
1.062	0.001
1.115	0.001
1.162	0.001
1.215	0.002
1.262	0.001
1.310	0.001
1.363	0.001
1.411	0.001
1.465	0.001
1.512	0.001
1.566	0.001
1.614	0.001
1.667	0.001
1.714	0.001
1.767	0.001
1.814	0.001
1.867	0.001
1.915	0.001
1.968	0.001
2.015	0.002
2.067	0.005
2.114	0.013
2.167	0.041
2.212	0.100
2.260	0.220
2.300	0.377
2.342	0.604
2.378	0.840
2.415	1.146
2.482	1.830
2.522	2.338
2.562	2.939
2.600	3.588
2.667	4.933
2.707	5.888
2.747	6.951
2.809	8.864
2.847	10.186
2.907	12.581
2.946	14.360
3.002	17.187
3.041	19.410
3.096	22.888
3.148	26.676
3.188	29.866
3.238	34.265
3.290	39.161
