6/5/2013	5:11 PM
Voltage (V),Current (mA)
0.001	0.001
0.054	0.001
0.102	0.001
0.148	0.001
0.201	0.001
0.249	0.001
0.302	0.001
0.350	0.001
0.404	0.001
0.451	0.001
0.505	0.001
0.553	0.001
0.607	0.001
0.655	0.001
0.709	0.001
0.757	0.001
0.810	0.001
0.858	0.002
0.912	0.001
0.960	0.002
1.014	0.001
1.062	0.001
1.115	0.001
1.162	0.002
1.215	0.001
1.262	0.001
1.310	0.001
1.363	0.001
1.411	0.002
1.465	0.002
1.512	0.003
1.566	0.009
1.613	0.026
1.663	0.085
1.702	0.233
1.738	0.564
1.781	1.443
1.822	2.954
1.863	5.149
1.913	8.875
1.961	13.523
2.010	19.174
2.061	26.459
2.108	34.193
