6/5/2013	5:00 PM
Voltage (V),Current (mA)
0.001	0.001
0.055	0.001
0.102	0.001
0.148	0.001
0.202	0.002
0.249	0.001
0.302	0.001
0.350	0.001
0.404	0.001
0.451	0.001
0.505	0.001
0.554	0.001
0.608	0.001
0.656	0.001
0.709	0.001
0.757	0.001
0.811	0.001
0.859	0.001
0.912	0.001
0.960	0.001
1.014	0.002
1.062	0.001
1.115	0.001
1.162	0.002
1.215	0.001
1.262	0.001
1.310	0.001
1.363	0.002
1.411	0.001
1.465	0.002
1.513	0.001
1.566	0.001
1.614	0.001
1.667	0.001
1.714	0.001
1.767	0.001
1.814	0.001
1.867	0.001
1.915	0.001
1.968	0.001
2.015	0.002
2.067	0.002
2.114	0.001
2.169	0.001
2.217	0.001
2.271	0.001
2.319	0.001
2.373	0.001
2.421	0.001
2.474	0.001
2.522	0.002
2.576	0.002
2.623	0.002
2.671	0.003
2.725	0.004
2.772	0.006
2.824	0.014
2.871	0.030
2.921	0.088
2.962	0.224
3.000	0.500
3.029	0.845
3.059	1.325
3.111	2.613
3.140	3.555
3.191	5.767
3.239	8.514
3.287	11.847
3.333	15.662
3.392	21.218
3.438	26.230
