Temp 1	Temp 2	Temp 3	Temp 4
0.825440	3.327132	9.974270	3.643622
0.825440	3.327132	9.974270	3.643622
6.598719	3.703412	5.531838	5.355969
0.825440	3.327132	9.974270	3.643622
6.598719	3.703412	5.531838	5.355969
7.870625	2.450168	6.387682	9.878324
0.825440	3.327132	9.974270	3.643622
6.598719	3.703412	5.531838	5.355969
7.870625	2.450168	6.387682	9.878324
6.211829	8.759907	3.340598	8.234529
0.825440	3.327132	9.974270	3.643622
6.598719	3.703412	5.531838	5.355969
7.870625	2.450168	6.387682	9.878324
6.211829	8.759907	3.340598	8.234529
7.470205	9.105628	4.192605	8.396466
0.825440	3.327132	9.974270	3.643622
6.598719	3.703412	5.531838	5.355969
7.870625	2.450168	6.387682	9.878324
6.211829	8.759907	3.340598	8.234529
7.470205	9.105628	4.192605	8.396466
8.344665	0.575186	0.299394	0.974981
0.825440	3.327132	9.974270	3.643622
6.598719	3.703412	5.531838	5.355969
7.870625	2.450168	6.387682	9.878324
6.211829	8.759907	3.340598	8.234529
7.470205	9.105628	4.192605	8.396466
8.344665	0.575186	0.299394	0.974981
0.470287	9.039122	2.543609	9.965830
0.825440	3.327132	9.974270	3.643622
6.598719	3.703412	5.531838	5.355969
7.870625	2.450168	6.387682	9.878324
6.211829	8.759907	3.340598	8.234529
7.470205	9.105628	4.192605	8.396466
8.344665	0.575186	0.299394	0.974981
0.470287	9.039122	2.543609	9.965830
5.650625	5.298775	3.131352	0.728374
0.825440	3.327132	9.974270	3.643622
6.598719	3.703412	5.531838	5.355969
7.870625	2.450168	6.387682	9.878324
6.211829	8.759907	3.340598	8.234529
7.470205	9.105628	4.192605	8.396466
8.344665	0.575186	0.299394	0.974981
0.470287	9.039122	2.543609	9.965830
5.650625	5.298775	3.131352	0.728374
3.593161	2.297445	7.003154	4.712558
0.825440	3.327132	9.974270	3.643622
6.598719	3.703412	5.531838	5.355969
7.870625	2.450168	6.387682	9.878324
6.211829	8.759907	3.340598	8.234529
7.470205	9.105628	4.192605	8.396466
8.344665	0.575186	0.299394	0.974981
0.470287	9.039122	2.543609	9.965830
5.650625	5.298775	3.131352	0.728374
3.593161	2.297445	7.003154	4.712558
5.243339	0.560668	2.085443	3.412180
